Host,Search Term to be pasted in query field,Searcher,WOS,Notes
Persicaria hastatosagittata,"TI=""Persicaria hastatosagittata"" OR AB=""Persicaria hastatosagittata"" OR AK=""Persicaria hastatosagittata""",Danica,0,
Polygonum acerosum,"TI=""Polygonum acerosum"" OR AB=""Polygonum acerosum"" OR AK=""Polygonum acerosum""",Danica,0,
Rumex skottsbergii,"TI=""Rumex skottsbergii"" OR AB=""Rumex skottsbergii"" OR AK=""Rumex skottsbergii""",Danica,1,
Acetosa alpestris,"TI=""Acetosa alpestris"" OR AB=""Acetosa alpestris"" OR AK=""Acetosa alpestris""",Danica,0,
Persicaria microcephala,"TI=""Persicaria microcephala"" OR AB=""Persicaria microcephala"" OR AK=""Persicaria microcephala""",Danica,1,
Fallopia cynanchoides,"TI=""Fallopia cynanchoides"" OR AB=""Fallopia cynanchoides"" OR AK=""Fallopia cynanchoides""",Danica,1,
Koenigia cyanandra,"TI=""Koenigia cyanandra"" OR AB=""Koenigia cyanandra"" OR AK=""Koenigia cyanandra""",Danica,0,
Bistorta milletii,"TI=""Bistorta milletii"" OR AB=""Bistorta milletii"" OR AK=""Bistorta milletii""",Danica,0,
Rheum cordatum,"TI=""Rheum cordatum"" OR AB=""Rheum cordatum"" OR AK=""Rheum cordatum""",Danica,2,
Rheum maximowiczii,"TI=""Rheum maximowiczii"" OR AB=""Rheum maximowiczii"" OR AK=""Rheum maximowiczii""",Danica,2,
Fagopyrum gracilipes,"TI=""Fagopyrum gracilipes"" OR AB=""Fagopyrum gracilipes"" OR AK=""Fagopyrum gracilipes""",Danica,2,
Koenigia pilosa,"TI=""Koenigia pilosa"" OR AB=""Koenigia pilosa"" OR AK=""Koenigia pilosa""",Danica,0,
Rheum tataricum,"TI=""Rheum tataricum"" OR AB=""Rheum tataricum"" OR AK=""Rheum tataricum""",Danica,3,
Polygonum czukavinae,"TI=""Polygonum czukavinae"" OR AB=""Polygonum czukavinae"" OR AK=""Polygonum czukavinae""",Danica,0,
Bistorta coriacea,"TI=""Bistorta coriacea"" OR AB=""Bistorta coriacea"" OR AK=""Bistorta coriacea""",Danica,0,
Koenigia lichiangensis,"TI=""Koenigia lichiangensis"" OR AB=""Koenigia lichiangensis"" OR AK=""Koenigia lichiangensis""",Danica,0,
Polygonum muricatum,"TI=""Polygonum muricatum"" OR AB=""Polygonum muricatum"" OR AK=""Polygonum muricatum""",Danica,0,
Polygonum paniculatum,"TI=""Polygonum paniculatum"" OR AB=""Polygonum paniculatum"" OR AK=""Polygonum paniculatum""",Danica,0,
Coccoloba nodosa,"TI=""Coccoloba nodosa"" OR AB=""Coccoloba nodosa"" OR AK=""Coccoloba nodosa""",Danica,0,
Rheum australe,"TI=""Rheum australe"" OR AB=""Rheum australe"" OR AK=""Rheum australe""",Danica,21,
Polygonum platyphyllum,"TI=""Polygonum platyphyllum"" OR AB=""Polygonum platyphyllum"" OR AK=""Polygonum platyphyllum""",Danica,0,
Chorizanthe ventricosa,"TI=""Chorizanthe ventricosa"" OR AB=""Chorizanthe ventricosa"" OR AK=""Chorizanthe ventricosa""",Danica,0,
Eriogonum luteolum,"TI=""Eriogonum luteolum"" OR AB=""Eriogonum luteolum"" OR AK=""Eriogonum luteolum""",Danica,0,
Coccoloba fallax,"TI=""Coccoloba fallax"" OR AB=""Coccoloba fallax"" OR AK=""Coccoloba fallax""",Danica,0,
Ruprechtia ramiflora,"TI=""Ruprechtia ramiflora"" OR AB=""Ruprechtia ramiflora"" OR AK=""Ruprechtia ramiflora""",Danica,1,
Triplaris americana,"TI=""Triplaris americana"" OR AB=""Triplaris americana"" OR AK=""Triplaris americana""",Danica,21,
Coccoloba swartzii,"TI=""Coccoloba swartzii"" OR AB=""Coccoloba swartzii"" OR AK=""Coccoloba swartzii""",Danica,0,
Rumex acutus,"TI=""Rumex acutus"" OR AB=""Rumex acutus"" OR AK=""Rumex acutus""",Danica,0,
Rumex frutescens,"TI=""Rumex frutescens"" OR AB=""Rumex frutescens"" OR AK=""Rumex frutescens""",Danica,0,
Persicaria dissitiflora,"TI=""Persicaria dissitiflora"" OR AB=""Persicaria dissitiflora"" OR AK=""Persicaria dissitiflora""",Danica,3,
Bistorta manshuriensis,"TI=""Bistorta manshuriensis"" OR AB=""Bistorta manshuriensis"" OR AK=""Bistorta manshuriensis""",Danica,1,
Fallopia forbesii,"TI=""Fallopia forbesii"" OR AB=""Fallopia forbesii"" OR AK=""Fallopia forbesii""",Danica,0,
Bistorta incana,"TI=""Bistorta incana"" OR AB=""Bistorta incana"" OR AK=""Bistorta incana""",Danica,0,
Bistorta elliptica,"TI=""Bistorta elliptica"" OR AB=""Bistorta elliptica"" OR AK=""Bistorta elliptica""",Danica,0,
Calligonum ebinuricum,"TI=""Calligonum ebinuricum"" OR AB=""Calligonum ebinuricum"" OR AK=""Calligonum ebinuricum""",Danica,1,
Atraphaxis manshurica,"TI=""Atraphaxis manshurica"" OR AB=""Atraphaxis manshurica"" OR AK=""Atraphaxis manshurica""",Danica,2,
Polygonum setosum,"TI=""Polygonum setosum"" OR AB=""Polygonum setosum"" OR AK=""Polygonum setosum""",Danica,0,
Coccoloba buchii,"TI=""Coccoloba buchii"" OR AB=""Coccoloba buchii"" OR AK=""Coccoloba buchii""",Danica,0,
Coccoloba costata,"TI=""Coccoloba costata"" OR AB=""Coccoloba costata"" OR AK=""Coccoloba costata""",Danica,0,
Coccoloba flavescens,"TI=""Coccoloba flavescens"" OR AB=""Coccoloba flavescens"" OR AK=""Coccoloba flavescens""",Danica,0,
Coccoloba krugii,"TI=""Coccoloba krugii"" OR AB=""Coccoloba krugii"" OR AK=""Coccoloba krugii""",Danica,0,
Leptogonum domingense,"TI=""Leptogonum domingense"" OR AB=""Leptogonum domingense"" OR AK=""Leptogonum domingense""",Danica,0,
Leptogonum domingensis,"TI=""Leptogonum domingensis"" OR AB=""Leptogonum domingensis"" OR AK=""Leptogonum domingensis""",Danica,0,
Rumex bucephalophorus,"TI=""Rumex bucephalophorus"" OR AB=""Rumex bucephalophorus"" OR AK=""Rumex bucephalophorus""",Danica,13,
Rumex simpliciflorus,"TI=""Rumex simpliciflorus"" OR AB=""Rumex simpliciflorus"" OR AK=""Rumex simpliciflorus""",Danica,0,
Polygonum fowleri,"TI=""Polygonum fowleri"" OR AB=""Polygonum fowleri"" OR AK=""Polygonum fowleri""",Danica,1,
Rumex nervosus,"TI=""Rumex nervosus"" OR AB=""Rumex nervosus"" OR AK=""Rumex nervosus""",Danica,15,
Coccoloba wrightii,"TI=""Coccoloba wrightii"" OR AB=""Coccoloba wrightii"" OR AK=""Coccoloba wrightii""",Danica,1,
Polygonum angustifolium,"TI=""Polygonum angustifolium"" OR AB=""Polygonum angustifolium"" OR AK=""Polygonum angustifolium""",Danica,0,
Rumex gmelinii,"TI=""Rumex gmelinii"" OR AB=""Rumex gmelinii"" OR AK=""Rumex gmelinii""",Danica,0,
Koenigia rumicifolia,"TI=""Koenigia rumicifolia"" OR AB=""Koenigia rumicifolia"" OR AK=""Koenigia rumicifolia""",Danica,0,
Polygonum psychrophilum,"TI=""Polygonum psychrophilum"" OR AB=""Polygonum psychrophilum"" OR AK=""Polygonum psychrophilum""",Danica,0,
Eriogonum leptocladon,"TI=""Eriogonum leptocladon"" OR AB=""Eriogonum leptocladon"" OR AK=""Eriogonum leptocladon""",Danica,0,
Oxygonum atriplicifolium,"TI=""Oxygonum atriplicifolium"" OR AB=""Oxygonum atriplicifolium"" OR AK=""Oxygonum atriplicifolium""",Danica,0,
Rumex ruwenzoriensis,"TI=""Rumex ruwenzoriensis"" OR AB=""Rumex ruwenzoriensis"" OR AK=""Rumex ruwenzoriensis""",Danica,0,
Persicaria prostrata,"TI=""Persicaria prostrata"" OR AB=""Persicaria prostrata"" OR AK=""Persicaria prostrata""",Danica,1,
Rumex tenax,"TI=""Rumex tenax"" OR AB=""Rumex tenax"" OR AK=""Rumex tenax""",Danica,0,
Polygonum lineare,"TI=""Polygonum lineare"" OR AB=""Polygonum lineare"" OR AK=""Polygonum lineare""",Danica,0,
Polygonum sibiricum,"TI=""Polygonum sibiricum"" OR AB=""Polygonum sibiricum"" OR AK=""Polygonum sibiricum""",Danica,5,
Polygonum paronychioides,"TI=""Polygonum paronychioides"" OR AB=""Polygonum paronychioides"" OR AK=""Polygonum paronychioides""",Danica,0,
Koenigia mollis,"TI=""Koenigia mollis"" OR AB=""Koenigia mollis"" OR AK=""Koenigia mollis""",Danica,0,
Koenigia limosa,"TI=""Koenigia limosa"" OR AB=""Koenigia limosa"" OR AK=""Koenigia limosa""",Danica,0,
Reynoutria hachidyoensis,"TI=""Reynoutria hachidyoensis"" OR AB=""Reynoutria hachidyoensis"" OR AK=""Reynoutria hachidyoensis""",Danica,0,
Persicaria hastato-sagittata,"TI=""Persicaria hastato-sagittata"" OR AB=""Persicaria hastato-sagittata"" OR AK=""Persicaria hastato-sagittata""",Danica,0,
Koenigia divaricata,"TI=""Koenigia divaricata"" OR AB=""Koenigia divaricata"" OR AK=""Koenigia divaricata""",Danica,0,
Rumex orbiculatus,"TI=""Rumex orbiculatus"" OR AB=""Rumex orbiculatus"" OR AK=""Rumex orbiculatus""",Danica,3,
Rumex cordatus,"TI=""Rumex cordatus"" OR AB=""Rumex cordatus"" OR AK=""Rumex cordatus""",Danica,0,
Persicaria dichotoma,"TI=""Persicaria dichotoma"" OR AB=""Persicaria dichotoma"" OR AK=""Persicaria dichotoma""",Danica,0,
Rumex tmoleus,"TI=""Rumex tmoleus"" OR AB=""Rumex tmoleus"" OR AK=""Rumex tmoleus""",Danica,0,
Rumex intermedius,"TI=""Rumex intermedius"" OR AB=""Rumex intermedius"" OR AK=""Rumex intermedius""",Danica,2,
Rumex amurensis,"TI=""Rumex amurensis"" OR AB=""Rumex amurensis"" OR AK=""Rumex amurensis""",Danica,0,
Rumex confusus,"TI=""Rumex confusus"" OR AB=""Rumex confusus"" OR AK=""Rumex confusus""",Danica,0,
Rumex madaio,"TI=""Rumex madaio"" OR AB=""Rumex madaio"" OR AK=""Rumex madaio""",Danica,3,
Rumex turcestanicus,"TI=""Rumex turcestanicus"" OR AB=""Rumex turcestanicus"" OR AK=""Rumex turcestanicus""",Danica,0,
Polygonum fibrilliferum,"TI=""Polygonum fibrilliferum"" OR AB=""Polygonum fibrilliferum"" OR AK=""Polygonum fibrilliferum""",Danica,0,
Koenigia alaskana,"TI=""Koenigia alaskana"" OR AB=""Koenigia alaskana"" OR AK=""Koenigia alaskana""",Danica,0,
Koenigia hissarica,"TI=""Koenigia hissarica"" OR AB=""Koenigia hissarica"" OR AK=""Koenigia hissarica""",Danica,0,
Koenigia sericea,"TI=""Koenigia sericea"" OR AB=""Koenigia sericea"" OR AK=""Koenigia sericea""",Danica,0,
Knorringia sibirica,"TI=""Knorringia sibirica"" OR AB=""Knorringia sibirica"" OR AK=""Knorringia sibirica""",Danica,1,
Rheum compactum,"TI=""Rheum compactum"" OR AB=""Rheum compactum"" OR AK=""Rheum compactum""",Danica,1,
Rheum crassinervium,"TI=""Rheum crassinervium"" OR AB=""Rheum crassinervium"" OR AK=""Rheum crassinervium""",Danica,0,
Fallopia cilinodis,"TI=""Fallopia cilinodis"" OR AB=""Fallopia cilinodis"" OR AK=""Fallopia cilinodis""",Danica,0,
Atraphaxis billardierei,"TI=""Atraphaxis billardierei"" OR AB=""Atraphaxis billardierei"" OR AK=""Atraphaxis billardierei""",Danica,0,
Polygonum polycnemoides,"TI=""Polygonum polycnemoides"" OR AB=""Polygonum polycnemoides"" OR AK=""Polygonum polycnemoides""",Danica,0,
Eriogonum longifolium,"TI=""Eriogonum longifolium"" OR AB=""Eriogonum longifolium"" OR AK=""Eriogonum longifolium""",Danica,4,
Rheum ribes,"TI=""Rheum ribes"" OR AB=""Rheum ribes"" OR AK=""Rheum ribes""",Danica,41,
Ruprechtia apetala,"TI=""Ruprechtia apetala"" OR AB=""Ruprechtia apetala"" OR AK=""Ruprechtia apetala""",Danica,8,
Rumex occultans,"TI=""Rumex occultans"" OR AB=""Rumex occultans"" OR AK=""Rumex occultans""",Danica,0,
Polygonum junceum,"TI=""Polygonum junceum"" OR AB=""Polygonum junceum"" OR AK=""Polygonum junceum""",Danica,0,
Rumex angiocarpus,"TI=""Rumex angiocarpus"" OR AB=""Rumex angiocarpus"" OR AK=""Rumex angiocarpus""",Danica,0,
Rumex maderensis,"TI=""Rumex maderensis"" OR AB=""Rumex maderensis"" OR AK=""Rumex maderensis""",Danica,3,
Atraphaxis virgata,"TI=""Atraphaxis virgata"" OR AB=""Atraphaxis virgata"" OR AK=""Atraphaxis virgata""",Danica,0,
Polygonum brasiliense,"TI=""Polygonum brasiliense"" OR AB=""Polygonum brasiliense"" OR AK=""Polygonum brasiliense""",Danica,0,
Rumex bipinnatus,"TI=""Rumex bipinnatus"" OR AB=""Rumex bipinnatus"" OR AK=""Rumex bipinnatus""",Danica,0,
Rumex magellanicus,"TI=""Rumex magellanicus"" OR AB=""Rumex magellanicus"" OR AK=""Rumex magellanicus""",Danica,1,
Rumex cuneifolius,"TI=""Rumex cuneifolius"" OR AB=""Rumex cuneifolius"" OR AK=""Rumex cuneifolius""",Danica,0,
Rumex romassa,"TI=""Rumex romassa"" OR AB=""Rumex romassa"" OR AK=""Rumex romassa""",Danica,0,
Rumex induratus,"TI=""Rumex induratus"" OR AB=""Rumex induratus"" OR AK=""Rumex induratus""",Danica,15,
Rumex papillaris,"TI=""Rumex papillaris"" OR AB=""Rumex papillaris"" OR AK=""Rumex papillaris""",Danica,5,
Persicaria nakaii,"TI=""Persicaria nakaii"" OR AB=""Persicaria nakaii"" OR AK=""Persicaria nakaii""",Danica,0,
Koenigia weyrichii,"TI=""Koenigia weyrichii"" OR AB=""Koenigia weyrichii"" OR AK=""Koenigia weyrichii""",Danica,0,
Bistorta macrophylla,"TI=""Bistorta macrophylla"" OR AB=""Bistorta macrophylla"" OR AK=""Bistorta macrophylla""",Danica,0,
Fagopyrum acutatum,"TI=""Fagopyrum acutatum"" OR AB=""Fagopyrum acutatum"" OR AK=""Fagopyrum acutatum""",Danica,1,
Polygonum molle,"TI=""Polygonum molle"" OR AB=""Polygonum molle"" OR AK=""Polygonum molle""",Danica,1,
Koenigia coriaria,"TI=""Koenigia coriaria"" OR AB=""Koenigia coriaria"" OR AK=""Koenigia coriaria""",Danica,0,
Rumex suffruticosus,"TI=""Rumex suffruticosus"" OR AB=""Rumex suffruticosus"" OR AK=""Rumex suffruticosus""",Danica,1,
Calligonum murex,"TI=""Calligonum murex"" OR AB=""Calligonum murex"" OR AK=""Calligonum murex""",Danica,0,
Fagopyrum tataricum,"TI=""Fagopyrum tataricum"" OR AB=""Fagopyrum tataricum"" OR AK=""Fagopyrum tataricum""",Danica,305,
Atraphaxis caucasica,"TI=""Atraphaxis caucasica"" OR AB=""Atraphaxis caucasica"" OR AK=""Atraphaxis caucasica""",Danica,1,
Atraphaxis laetevirens,"TI=""Atraphaxis laetevirens"" OR AB=""Atraphaxis laetevirens"" OR AK=""Atraphaxis laetevirens""",Danica,2,
Atraphaxis frutescens,"TI=""Atraphaxis frutescens"" OR AB=""Atraphaxis frutescens"" OR AK=""Atraphaxis frutescens""",Danica,2,
