Host,Search Term to be pasted in query field,Searcher,WOS,Notes
Silene armeria,"TI=""Silene armeria"" OR AB=""Silene armeria"" OR AK=""Silene armeria""",Michael,19,
Saponaria ocymoides,"TI=""Saponaria ocymoides"" OR AB=""Saponaria ocymoides"" OR AK=""Saponaria ocymoides""",Michael,4,
Atocion compactum,"TI=""Atocion compactum"" OR AB=""Atocion compactum"" OR AK=""Atocion compactum""",Michael,1,
Silene chlorantha,"TI=""Silene chlorantha"" OR AB=""Silene chlorantha"" OR AK=""Silene chlorantha""",Michael,4,
Silene conica,"TI=""Silene conica"" OR AB=""Silene conica"" OR AK=""Silene conica""",Michael,4,
Silene flos-jovis,"TI=""Silene flos-jovis"" OR AB=""Silene flos-jovis"" OR AK=""Silene flos-jovis""",Michael,0,
Silene bungei,"TI=""Silene bungei"" OR AB=""Silene bungei"" OR AK=""Silene bungei""",Michael,0,
Stellaria nemorum,"TI=""Stellaria nemorum"" OR AB=""Stellaria nemorum"" OR AK=""Stellaria nemorum""",Michael,19,
Silene viscosa,"TI=""Silene viscosa"" OR AB=""Silene viscosa"" OR AK=""Silene viscosa""",Michael,4,
Silene saxifraga,"TI=""Silene saxifraga"" OR AB=""Silene saxifraga"" OR AK=""Silene saxifraga""",Michael,6,
Silene sendtneri,"TI=""Silene sendtneri"" OR AB=""Silene sendtneri"" OR AK=""Silene sendtneri""",Michael,1,
Silene gallinyi,"TI=""Silene gallinyi"" OR AB=""Silene gallinyi"" OR AK=""Silene gallinyi""",Michael,0,
Silene dianthoides,"TI=""Silene dianthoides"" OR AB=""Silene dianthoides"" OR AK=""Silene dianthoides""",Michael,0,
Silene multicaulis,"TI=""Silene multicaulis"" OR AB=""Silene multicaulis"" OR AK=""Silene multicaulis""",Michael,0,
Silene mellifera,"TI=""Silene mellifera"" OR AB=""Silene mellifera"" OR AK=""Silene mellifera""",Michael,2,
Silene elisabetha,"TI=""Silene elisabetha"" OR AB=""Silene elisabetha"" OR AK=""Silene elisabetha""",Michael,0,
Silene italica,"TI=""Silene italica"" OR AB=""Silene italica"" OR AK=""Silene italica""",Michael,13,
Silene mollissima,"TI=""Silene mollissima"" OR AB=""Silene mollissima"" OR AK=""Silene mollissima""",Michael,3,
Silene himalayensis,"TI=""Silene himalayensis"" OR AB=""Silene himalayensis"" OR AK=""Silene himalayensis""",Michael,0,
Scleranthus annuus,"TI=""Scleranthus annuus"" OR AB=""Scleranthus annuus"" OR AK=""Scleranthus annuus""",Michael,12,
Stellaria parviflora,"TI=""Stellaria parviflora"" OR AB=""Stellaria parviflora"" OR AK=""Stellaria parviflora""",Michael,0,
Silene behen,"TI=""Silene behen"" OR AB=""Silene behen"" OR AK=""Silene behen""",Michael,0,
Arenaria muralis,"TI=""Arenaria muralis"" OR AB=""Arenaria muralis"" OR AK=""Arenaria muralis""",Michael,0,
Drymaria cordata,"TI=""Drymaria cordata"" OR AB=""Drymaria cordata"" OR AK=""Drymaria cordata""",Michael,18,
Sabulina verna,"TI=""Sabulina verna"" OR AB=""Sabulina verna"" OR AK=""Sabulina verna""",Michael,1,
Silene baccifera,"TI=""Silene baccifera"" OR AB=""Silene baccifera"" OR AK=""Silene baccifera""",Michael,1,
Eremogone kingii,"TI=""Eremogone kingii"" OR AB=""Eremogone kingii"" OR AK=""Eremogone kingii""",Michael,1,
Silene roemeri,"TI=""Silene roemeri"" OR AB=""Silene roemeri"" OR AK=""Silene roemeri""",Michael,0,
Silene graminifolia,"TI=""Silene graminifolia"" OR AB=""Silene graminifolia"" OR AK=""Silene graminifolia""",Michael,0,
REMOVE,"TI=""REMOVE"" OR AB=""REMOVE"" OR AK=""REMOVE""",Michael,,
Silene nutans,"TI=""Silene nutans"" OR AB=""Silene nutans"" OR AK=""Silene nutans""",Michael,30,
Silene moorcroftiana,"TI=""Silene moorcroftiana"" OR AB=""Silene moorcroftiana"" OR AK=""Silene moorcroftiana""",Michael,1,
Silene sibirica,"TI=""Silene sibirica"" OR AB=""Silene sibirica"" OR AK=""Silene sibirica""",Michael,0,
Silene supina,"TI=""Silene supina"" OR AB=""Silene supina"" OR AK=""Silene supina""",Michael,0,
Sabulina tenuifolia,"TI=""Sabulina tenuifolia"" OR AB=""Sabulina tenuifolia"" OR AK=""Sabulina tenuifolia""",Michael,1,
Cerastium gibraltaricum,"TI=""Cerastium gibraltaricum"" OR AB=""Cerastium gibraltaricum"" OR AK=""Cerastium gibraltaricum""",Michael,0,
Silene repens,"TI=""Silene repens"" OR AB=""Silene repens"" OR AK=""Silene repens""",Michael,6,
Moehringia trinervia,"TI=""Moehringia trinervia"" OR AB=""Moehringia trinervia"" OR AK=""Moehringia trinervia""",Michael,8,
Moenchia erecta,"TI=""Moenchia erecta"" OR AB=""Moenchia erecta"" OR AK=""Moenchia erecta""",Michael,1,
Cerastium glutinosum,"TI=""Cerastium glutinosum"" OR AB=""Cerastium glutinosum"" OR AK=""Cerastium glutinosum""",Michael,1,
Cerastium brachypetalum,"TI=""Cerastium brachypetalum"" OR AB=""Cerastium brachypetalum"" OR AK=""Cerastium brachypetalum""",Michael,1,
